outcome,label,re_level,subfield,journal,prevalence_estimate,prevalence_ci_lower,prevalence_ci_upper,trend_estimate,trend_ci_lower,trend_ci_upper,detectable,prevalence_category,trend_category,combined_category,prevalence_results,trend_results
Cognitive Ability,Psychology,field,hypothetical typical subfield,hypothetical typical journal,0.12498003807364624,0.08095555488411552,0.17308277371442704,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.12 95% CI [0.08, 0.17]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,Clinical,subfields,Clinical,hypothetical typical journal,0.14000872361373137,0.04393144137123938,0.26283801731501805,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.14 95% CI [0.04, 0.26]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,Clinical journal 1,journals,Clinical,Clinical journal 1,0.1461339365171756,0.06205903693361773,0.25338750960432643,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.15 95% CI [0.06, 0.25]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,Clinical journal 2,journals,Clinical,Clinical journal 2,0.12935335582176924,0.044334514122304255,0.21950177795212708,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.13 95% CI [0.04, 0.22]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,Clinical journal 3,journals,Clinical,Clinical journal 3,0.13024422801268193,0.04506934691369966,0.22504375136286722,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.13 95% CI [0.05, 0.23]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,Clinical journal 4,journals,Clinical,Clinical journal 4,0.19203204256262807,0.09268794494167679,0.3920263535229401,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.19 95% CI [0.09, 0.39]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,Clinical journal 5,journals,Clinical,Clinical journal 5,0.13789237582984543,0.05143926166278754,0.23326060791980424,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.14 95% CI [0.05, 0.23]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,Cognitive,subfields,Cognitive,hypothetical typical journal,0.115161369220737,0.02947193593613266,0.21201842189711495,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.12 95% CI [0.03, 0.21]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,Cognitive journal 1,journals,Cognitive,Cognitive journal 1,0.10892398066042486,0.03525128157577689,0.1805611639593295,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.11 95% CI [0.04, 0.18]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,Cognitive journal 2,journals,Cognitive,Cognitive journal 2,0.11006329506434585,0.038540566323656274,0.1903134733113343,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.11 95% CI [0.04, 0.19]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,Cognitive journal 3,journals,Cognitive,Cognitive journal 3,0.11872566643053883,0.04181517952699041,0.2052679718807114,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.12 95% CI [0.04, 0.21]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,Cognitive journal 4,journals,Cognitive,Cognitive journal 4,0.10730616275421215,0.035727458147056745,0.18193586787278607,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.11 95% CI [0.04, 0.18]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,Cognitive journal 5,journals,Cognitive,Cognitive journal 5,0.1182513695468121,0.047149183634213734,0.2061948252326257,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.12 95% CI [0.05, 0.21]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,Developmental,subfields,Developmental,hypothetical typical journal,0.14091508606751443,0.04884391696152475,0.265724456107947,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.14 95% CI [0.05, 0.27]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,Developmental journal 1,journals,Developmental,Developmental journal 1,0.1685392560133465,0.08637438035397901,0.3208106664288907,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.17 95% CI [0.09, 0.32]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,Developmental journal 2,journals,Developmental,Developmental journal 2,0.15570922860877456,0.07233628291943554,0.2845298199864654,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.16 95% CI [0.07, 0.28]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,Developmental journal 3,journals,Developmental,Developmental journal 3,0.13002832469888875,0.044963678566571186,0.2250053695625202,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.13 95% CI [0.04, 0.23]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,Developmental journal 4,journals,Developmental,Developmental journal 4,0.1367451088899369,0.05546490867646907,0.23819014301513808,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.14 95% CI [0.06, 0.24]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,Developmental journal 5,journals,Developmental,Developmental journal 5,0.13849439892344434,0.054823989962913586,0.2383890829951449,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.14 95% CI [0.05, 0.24]","-0.00 95% CI [-0.01, 0.01]"
Cognitive Ability,General,subfields,General,hypothetical typical journal,0.11487530645487529,0.033772750947379485,0.21629817607566446,-0.0025508949424309516,-0.011338764351707189,0.007672092777171456,FALSE,Occasional,No trend detected,Occasional and No trend detected,"0.11 95% CI [0.03, 0.22]","-0.00 95% CI [-0.01, 0.01]"
